id;memory_mb;num_vcpus;number_of_nics;num_virtual_disks;os_fam
1;2048;2;2;1;Linux
2;12288;4;1;2;Linux
3;12288;4;1;2;Linux
4;12288;4;1;2;Linux
5;2048;2;2;1;Linux
6;2048;2;2;1;Linux
7;4096;2;1;1;Linux
8;4096;2;1;1;Linux
9;12288;4;1;2;Linux
10;12288;4;1;2;Linux
11;12288;4;1;2;Linux
12;4096;4;1;1;Windows Server
13;4096;4;1;1;Linux
14;16384;8;1;1;Linux
15;4096;4;1;1;Linux
16;16384;8;1;1;Linux
17;10240;2;1;1;Linux
18;2048;2;2;1;Linux
19;12288;4;1;2;Linux
20;4096;2;1;1;Linux
21;4096;2;1;1;Linux
22;4096;2;1;1;Linux
23;16384;4;1;3;Linux
24;2048;2;2;1;Linux
25;2048;2;2;1;Linux
26;4096;1;1;1;Linux
27;4096;1;1;1;Linux
28;2048;1;1;1;Linux
29;2048;1;1;1;Linux
30;8192;4;1;1;Linux
31;16384;32;1;2;Windows Server
32;2048;2;2;1;Linux
33;2048;2;2;1;Linux
34;2048;2;2;1;Linux
35;2048;2;2;1;Linux
36;2048;2;2;1;Linux
37;12288;4;1;2;Linux
38;12288;4;1;2;Linux
39;16384;2;1;1;Linux
40;16384;4;1;1;Linux
41;2048;1;1;1;Other
42;8192;4;1;1;Linux
43;8192;4;1;1;Linux
44;8192;4;1;1;Linux
45;16384;4;1;3;Linux
46;16384;4;1;3;Linux
47;16384;8;1;1;Windows Server
48;16384;8;1;1;Windows Server
49;12288;4;1;2;Linux
50;4096;2;1;3;Linux
51;2048;2;2;1;Linux
52;16384;4;1;3;Linux
53;16384;4;1;3;Linux
54;2048;1;1;1;Other
55;2048;1;1;1;Other
56;4096;4;1;1;Linux
57;16384;4;1;1;Windows Desktop
58;16384;4;1;1;Windows Desktop
59;4096;4;1;1;Linux
60;4096;4;1;1;Linux
61;2048;2;2;1;Linux
62;4096;4;1;1;Linux
63;4096;4;1;1;Linux
64;8192;4;1;1;Linux
65;8192;4;1;1;Linux
66;6144;2;1;1;Linux
67;8192;2;1;1;Linux
68;8192;2;1;1;Linux
69;24576;8;1;13;Linux
70;24576;8;1;13;Linux
71;1024;1;1;1;Linux
72;1024;1;1;1;Linux
73;2048;2;2;1;Linux
74;2048;2;2;1;Linux
75;2048;2;2;1;Linux
76;2048;2;2;1;Linux
77;2048;2;2;1;Linux
78;2048;2;2;1;Linux
79;12288;4;1;2;Linux
80;12288;4;1;2;Linux
81;2048;2;2;1;Linux
82;2048;2;2;1;Linux
83;8192;4;1;1;Linux
84;8192;2;1;3;Linux
85;8192;2;1;3;Linux
86;8192;4;1;1;Linux
87;2048;2;2;1;Linux
88;2048;2;2;1;Linux
89;12288;4;1;2;Linux
90;12288;4;1;2;Linux
91;16384;2;1;1;Linux
92;16384;4;1;1;Linux
93;16384;2;1;1;Linux
94;16384;2;1;1;Linux
95;8096;2;1;3;Linux
96;8192;2;1;3;Linux
97;4096;2;1;1;Linux
98;16384;4;1;3;Linux
99;8192;4;1;1;Linux
100;4096;4;1;2;Windows Desktop
101;8192;2;1;3;Linux
102;8192;2;1;3;Linux
103;8192;2;1;3;Linux
104;8192;2;1;3;Linux
105;8192;2;1;3;Linux
106;8192;2;1;3;Linux
107;4096;2;6;1;Linux
108;4096;2;6;1;Linux
109;4096;2;6;1;Linux
110;4096;2;6;1;Linux
111;4096;2;6;1;Linux
112;4096;2;6;1;Linux
113;4096;2;1;3;Linux
114;4096;2;1;3;Linux
115;4096;2;1;3;Linux
116;4096;2;1;3;Linux
117;4096;2;1;3;Linux
118;4096;2;1;3;Linux
119;4096;2;1;3;Linux
120;4096;2;1;3;Linux
121;4096;2;1;3;Linux
122;4096;2;1;3;Linux
123;4096;2;1;3;Linux
124;4096;2;1;3;Linux
125;4096;2;1;3;Linux
126;4096;2;1;3;Linux
127;4096;2;1;3;Linux
128;4096;2;1;3;Linux
129;4096;2;1;3;Linux
130;4096;2;1;3;Linux
131;4096;2;1;3;Linux
132;4096;2;1;3;Linux
133;4096;2;1;3;Linux
134;4096;2;1;3;Linux
135;4096;2;1;3;Linux
136;4096;2;1;3;Linux
137;4096;20;1;1;Linux
138;4096;20;1;1;Linux
139;4096;20;1;1;Linux
140;4096;20;1;1;Linux
141;4096;20;1;1;Linux
142;4096;20;1;1;Linux
143;4096;20;1;1;Linux
144;4096;20;1;1;Linux
145;4096;20;1;1;Linux
146;4096;20;1;1;Linux
147;4096;20;1;1;Linux
148;4096;20;1;1;Linux
149;4096;2;1;3;Linux
150;4096;2;1;3;Linux
151;4096;2;1;3;Linux
152;4096;2;1;3;Linux
153;4096;2;1;3;Linux
154;4096;2;1;3;Linux
155;4096;4;1;1;Linux
156;4096;4;1;1;Linux
157;4096;4;1;1;Linux
158;4096;4;1;1;Linux
159;4096;4;1;1;Linux
160;4096;4;1;1;Linux
161;4096;4;1;1;Linux
162;4096;4;1;1;Linux
163;4096;4;1;1;Linux
164;4096;4;1;1;Linux
165;4096;4;1;1;Linux
166;4096;4;1;1;Linux
167;4096;2;1;3;Linux
168;4096;2;1;3;Linux
169;4096;2;1;3;Linux
170;4096;2;1;3;Linux
171;4096;2;1;3;Linux
172;4096;2;1;3;Linux
173;4096;20;1;1;Linux
174;4096;20;1;1;Linux
175;4096;20;1;1;Linux
176;4096;20;1;1;Linux
177;4096;20;1;1;Linux
178;4096;20;1;1;Linux
179;4096;2;1;3;Linux
180;4096;2;1;3;Linux
181;4096;2;1;3;Linux
182;4096;2;1;3;Linux
183;4096;2;1;3;Linux
184;4096;2;1;3;Linux
185;4096;2;1;3;Linux
186;4096;2;1;3;Linux
187;4096;2;1;3;Linux
188;4096;2;1;3;Linux
189;32768;8;4;1;Linux
190;32768;8;4;1;Linux
191;32768;8;4;1;Linux
192;32768;8;4;1;Linux
193;32768;8;4;1;Linux
194;32768;8;4;1;Linux
195;4096;2;1;3;Linux
196;4096;2;1;3;Linux
197;4096;2;1;3;Linux
198;4096;2;1;3;Linux
199;4096;2;1;3;Linux
200;4096;2;1;3;Linux
201;4096;20;1;1;Linux
202;4096;20;1;1;Linux
203;4096;20;1;1;Linux
204;4096;20;1;1;Linux
205;4096;20;1;1;Linux
206;4096;20;1;1;Linux
207;4096;2;1;3;Linux
208;4096;2;1;3;Linux
209;4096;2;1;3;Linux
210;4096;2;1;3;Linux
211;4096;2;1;3;Linux
212;4096;2;1;3;Linux
213;4096;2;1;3;Linux
214;4096;2;1;3;Linux
215;4096;2;1;3;Linux
216;4096;2;1;3;Linux
217;4096;2;1;3;Linux
218;4096;2;1;3;Linux
219;4096;2;1;3;Linux
220;4096;2;1;3;Linux
221;4096;2;1;3;Linux
222;4096;2;1;3;Linux
223;4096;2;1;3;Linux
224;4096;2;1;3;Linux
225;8192;2;1;2;Linux
226;8192;2;1;2;Linux
227;8192;2;1;2;Linux
228;8192;2;1;2;Linux
229;8192;2;1;2;Linux
230;8192;2;1;2;Linux
231;8192;2;1;3;Linux
232;8192;2;1;3;Linux
233;8192;2;1;3;Linux
234;8192;2;1;3;Linux
235;8192;2;1;3;Linux
236;8192;2;1;3;Linux
237;1024;2;3;1;Linux
238;1024;2;3;1;Linux
239;1024;2;3;1;Linux
240;1024;2;3;1;Linux
241;1024;2;3;1;Linux
242;1024;2;3;1;Linux
243;4096;20;1;1;Linux
244;4096;20;1;1;Linux
245;4096;20;1;1;Linux
246;4096;20;1;1;Linux
247;4096;20;1;1;Linux
248;4096;20;1;1;Linux
249;4096;2;1;3;Linux
250;4096;2;1;3;Linux
251;4096;2;1;3;Linux
252;4096;2;1;3;Linux
253;4096;2;1;3;Linux
254;4096;2;1;3;Linux
255;4096;2;1;1;Linux
256;4096;2;1;1;Linux
257;4096;2;1;1;Linux
258;4096;2;1;1;Linux
259;4096;2;1;1;Linux
260;4096;2;1;1;Linux
261;4096;2;1;3;Linux
262;4096;2;1;3;Linux
263;4096;2;1;3;Linux
264;4096;2;1;3;Linux
265;4096;2;1;3;Linux
266;4096;2;1;3;Linux
267;1024;2;10;2;Linux
268;1024;2;10;2;Linux
269;1024;2;10;2;Linux
270;1024;2;10;2;Linux
271;1024;2;10;2;Linux
272;1024;2;10;2;Linux
273;4096;4;1;1;Linux
274;4096;4;1;1;Linux
275;4096;4;1;1;Linux
276;4096;4;1;1;Linux
277;4096;4;1;1;Linux
278;4096;4;1;1;Linux
279;8192;2;1;3;Linux
280;8192;2;1;3;Linux
281;8192;2;1;3;Linux
282;8192;2;1;3;Linux
283;8192;2;1;3;Linux
284;8192;2;1;3;Linux
285;4096;2;1;3;Linux
286;4096;2;1;3;Linux
287;4096;2;1;3;Linux
288;4096;2;1;3;Linux
289;4096;2;1;3;Linux
290;4096;2;1;3;Linux
291;4096;2;1;3;Linux
292;4096;2;1;3;Linux
293;4096;2;1;3;Linux
294;4096;2;1;3;Linux
295;4096;2;1;3;Linux
296;4096;2;1;3;Linux
297;4096;2;1;3;Linux
298;4096;2;1;3;Linux
299;4096;2;1;3;Linux
300;4096;2;1;3;Linux
301;4096;2;1;3;Linux
302;4096;2;1;3;Linux
303;16384;4;1;1;Linux
304;16384;4;1;1;Linux
305;16384;4;1;1;Linux
306;16384;4;1;1;Linux
307;16384;4;1;1;Linux
308;16384;4;1;1;Linux
309;4096;20;1;1;Linux
310;4096;20;1;1;Linux
311;4096;20;1;1;Linux
312;4096;20;1;1;Linux
313;4096;20;1;1;Linux
314;4096;20;1;1;Linux
315;4096;2;1;3;Linux
316;4096;2;1;3;Linux
317;4096;2;1;3;Linux
318;4096;2;1;3;Linux
319;4096;2;1;3;Linux
320;4096;2;1;3;Linux
321;4096;2;1;3;Linux
322;4096;2;1;3;Linux
323;4096;2;1;3;Linux
324;4096;2;1;3;Linux
325;4096;2;1;3;Linux
326;4096;2;1;3;Linux
327;2048;2;2;1;Linux
328;2048;2;2;1;Linux
329;2048;2;2;1;Linux
330;2048;2;2;1;Linux
331;2048;2;2;1;Linux
332;2048;2;2;1;Linux
333;8192;1;1;1;Linux
334;8192;1;1;1;Linux
335;8192;1;1;1;Linux
336;8192;1;1;1;Linux
337;8192;1;1;1;Linux
338;8192;1;1;1;Linux
339;24576;6;1;1;Linux
340;24576;6;1;1;Linux
341;24576;6;1;1;Linux
342;24576;6;1;1;Linux
343;24576;6;1;1;Linux
344;24576;6;1;1;Linux
345;4096;20;1;1;Linux
346;4096;20;1;1;Linux
347;4096;20;1;1;Linux
348;4096;20;1;1;Linux
349;4096;20;1;1;Linux
350;4096;20;1;1;Linux
351;4096;2;1;3;Linux
352;4096;2;1;3;Linux
353;4096;2;1;3;Linux
354;4096;2;1;3;Linux
355;4096;2;1;3;Linux
356;4096;2;1;3;Linux
357;4096;2;1;3;Linux
358;4096;2;1;3;Linux
359;4096;2;1;3;Linux
360;4096;2;1;3;Linux
361;4096;2;1;3;Linux
362;4096;2;1;3;Linux
363;4096;2;1;3;Linux
364;4096;2;1;3;Linux
365;4096;2;1;3;Linux
366;4096;2;1;3;Linux
367;4096;2;1;3;Linux
368;4096;2;1;3;Linux
369;4096;20;1;1;Linux
370;4096;20;1;1;Linux
371;4096;20;1;1;Linux
372;4096;20;1;1;Linux
373;4096;20;1;1;Linux
374;4096;20;1;1;Linux
375;4096;2;1;3;Linux
376;4096;2;1;3;Linux
377;4096;2;1;3;Linux
378;4096;2;1;3;Linux
379;4096;2;1;3;Linux
380;4096;2;1;3;Linux
381;32768;8;4;1;Linux
382;32768;8;4;1;Linux
383;32768;8;4;1;Linux
384;32768;8;4;1;Linux
385;32768;8;4;1;Linux
386;32768;8;4;1;Linux
387;4096;2;1;3;Linux
388;4096;2;1;3;Linux
389;4096;2;1;3;Linux
390;4096;2;1;3;Linux
391;4096;2;1;3;Linux
392;4096;2;1;3;Linux
393;16384;4;1;13;Linux
394;16384;4;1;13;Linux
395;16384;4;1;13;Linux
396;16384;4;1;13;Linux
397;16384;4;1;13;Linux
398;16384;4;1;13;Linux
399;512;1;1;1;Linux
400;512;1;1;1;Linux
401;512;1;1;1;Linux
402;512;1;1;1;Linux
403;8192;4;4;1;Linux
404;8192;4;4;1;Linux
405;8192;4;4;1;Linux
406;8192;4;4;1;Linux
407;8192;4;4;1;Linux
408;8192;4;4;1;Linux
409;4096;2;1;3;Linux
410;4096;2;1;3;Linux
411;4096;2;1;1;Windows Server
412;4096;2;1;1;Windows Server
413;4096;2;1;1;Windows Server
414;4096;2;1;1;Windows Server
415;4096;2;1;1;Windows Server
416;4096;2;1;1;Windows Server
417;2048;2;1;4;Linux
418;2048;2;1;4;Linux
419;2048;2;1;4;Linux
420;2048;2;1;4;Linux
421;2048;2;1;4;Linux
422;2048;2;1;4;Linux
423;8192;2;1;1;Windows Server
424;8192;2;1;1;Windows Server
425;8192;2;1;1;Windows Server
426;8192;2;1;1;Windows Server
427;8192;2;1;1;Windows Server
428;8192;2;1;1;Windows Server
429;4096;2;1;1;Windows Desktop
430;4096;2;1;1;Windows Desktop
431;4096;2;1;1;Windows Desktop
432;4096;2;1;1;Windows Desktop
433;4096;2;1;1;Windows Desktop
434;4096;2;1;1;Windows Desktop
435;4096;2;1;1;Linux
436;4096;2;1;1;Linux
437;4096;2;1;1;Linux
438;4096;2;1;1;Linux
439;4096;2;1;1;Linux
440;4096;2;1;1;Linux
441;4096;4;2;1;Linux
442;4096;4;2;1;Linux
443;4096;4;2;1;Linux
444;4096;4;2;1;Linux
445;4096;4;2;1;Linux
446;4096;4;2;1;Linux
447;8192;2;2;1;Linux
448;8192;2;2;1;Linux
449;8192;2;2;1;Linux
450;8192;2;1;3;Windows Server
451;8192;2;1;3;Windows Server
452;8192;2;1;3;Windows Server
453;8192;2;1;3;Windows Server
454;8192;2;1;3;Windows Server
455;8192;2;1;3;Windows Server
456;8192;16;1;1;Linux
457;8192;16;1;1;Linux
458;8192;16;1;1;Linux
459;8192;16;1;1;Linux
460;8192;16;1;1;Linux
461;8192;16;1;1;Linux
462;32768;8;1;5;Linux
463;32768;8;1;5;Linux
464;32768;8;1;5;Linux
465;32768;8;1;5;Linux
466;32768;8;1;5;Linux
467;16384;4;1;2;Windows Server
468;16384;4;1;2;Windows Server
469;16384;4;1;2;Windows Server
470;16384;4;1;2;Windows Server
471;16384;4;1;2;Windows Server
472;16384;4;1;2;Windows Server
473;32768;8;1;5;Linux
474;32768;8;1;5;Linux
475;32768;8;1;5;Linux
476;32768;8;1;5;Linux
477;32768;8;1;5;Linux
478;32768;8;1;5;Linux
479;6144;2;1;3;Linux
480;6144;2;1;3;Linux
481;6144;2;1;3;Linux
482;6144;2;1;3;Linux
483;6144;2;1;3;Linux
484;6144;2;1;3;Linux
485;2048;2;1;1;Linux
486;2048;2;1;1;Linux
487;8192;2;1;2;Windows Server
488;8192;2;1;2;Windows Server
489;8192;2;1;2;Windows Server
490;8192;2;1;2;Windows Server
491;8192;2;1;2;Windows Server
492;8192;2;1;2;Windows Server
493;6144;2;1;1;Windows Server
494;6144;2;1;1;Windows Server
495;6144;2;1;1;Windows Server
496;6144;2;1;1;Windows Server
497;6144;2;1;1;Windows Server
498;6144;2;1;1;Windows Server
499;4096;2;1;1;Linux
500;4096;2;1;1;Linux
501;4096;2;1;1;Linux
502;4096;2;1;1;Linux
503;4096;2;1;1;Linux
504;4096;2;1;1;Linux
505;4096;4;1;1;Windows Server
506;4096;4;1;1;Windows Server
507;4096;4;1;1;Windows Server
508;4096;4;1;1;Windows Server
509;4096;4;1;1;Windows Server
510;12288;4;1;1;Windows Server
511;12288;4;1;1;Windows Server
512;12288;4;1;1;Windows Server
513;12288;4;1;1;Windows Server
514;12288;4;1;1;Windows Server
515;12288;4;1;1;Windows Server
516;4096;4;1;2;Linux
517;4096;4;1;5;Linux
518;4096;4;1;2;Linux
519;4096;4;1;2;Linux
520;4096;4;1;2;Linux
521;4096;4;1;2;Linux
522;2048;1;1;1;Linux
523;32768;8;1;5;Linux
524;32768;8;1;5;Linux
525;32768;8;1;5;Linux
526;32768;8;1;5;Linux
527;32768;8;1;5;Linux
528;32768;8;1;5;Linux
529;8192;2;1;2;Windows Server
530;8192;2;1;2;Windows Server
531;8192;2;1;2;Windows Server
532;8192;2;1;2;Windows Server
533;8192;2;1;2;Windows Server
534;8192;2;1;2;Windows Server
535;2048;1;1;1;Linux
536;2048;1;1;1;Linux
537;2048;1;1;1;Linux
538;2048;1;1;1;Linux
539;2048;1;1;1;Linux
540;2048;1;1;1;Linux
541;4096;2;1;1;Linux
542;4096;2;1;1;Linux
543;4096;2;1;1;Linux
544;4096;2;1;1;Linux
545;4096;2;1;1;Linux
546;4096;2;1;1;Linux
547;4096;2;1;1;Windows Server
548;4096;2;1;1;Windows Server
549;4096;2;1;1;Windows Server
550;4096;2;1;1;Windows Server
